Team,Conference,Final_Score,Experience,Off_TO_Pct,Def_TO_Pct,Turnover_Margin,KenPom_Rank,AdjEM,AdjOE,AdjDE,AdjOE_Rank,AdjDE_Rank,defensive_rating_score,offensive_rating_score,recent_performance_score,experience_score,turnover_margin_score,Final_Rank,Rank_Change
Illinois,B10,83.76758241758242,1.08,16.0,12.4,-3.5999999999999996,17,24.30000000000001,121.9,97.6,14,40,89.01098901098901,98.15384615384616,85,70,2.362637362637363,33,-16
Nebraska,B10,83.43131868131869,2.75,16.2,17.6,1.4000000000000021,44,17.0,114.7,97.7,62,41,88.73626373626374,82.6923076923077,75,90,70.05494505494505,34,10
North Carolina,ACC,83.24285714285713,2.26,15.1,15.3,0.20000000000000107,31,20.3,119.2,98.9,21,47,87.08791208791209,96.23076923076923,75,70,54.94505494505495,35,-4
New Mexico,MWC,83.21813186813186,2.49,15.7,20.3,4.600000000000001,41,17.80000000000001,112.9,95.1,74,19,96.5054945054945,79.3956043956044,75,70,98.95604395604396,36,5
Ohio St.,B10,82.28571428571428,2.16,15.6,16.8,1.200000000000001,37,19.10000000000001,118.2,99.1,30,50,86.26373626373626,91.75824175824175,75,70,67.58241758241759,37,0
Creighton,BE,82.15384615384615,2.66,17.9,11.6,-6.299999999999999,34,19.5,117.8,98.3,33,44,87.91208791208791,90.93406593406593,75,90,0.0,38,-4
Northwestern,B10,82.01098901098901,2.23,14.9,19.8,4.9,44,17.0,114.3,97.3,65,37,89.56043956043956,82.14285714285714,75,70,100.0,39,5
SMU,ACC,81.85164835164836,2.78,17.2,17.9,0.6999999999999993,50,15.400000000000006,116.2,100.8,48,67,81.04395604395604,86.53846153846155,75,90,61.53846153846154,40,10
Vanderbilt,SEC,81.26923076923077,2.38,14.5,19.8,5.300000000000001,48,16.200000000000003,117.8,101.6,32,79,78.2967032967033,90.93406593406593,75,70,100.0,41,7
Oklahoma,SEC,81.21428571428571,2.28,17.3,18.2,0.8999999999999986,40,17.900000000000006,118.2,100.3,29,60,83.51648351648352,91.75824175824175,75,70,62.637362637362635,42,-2
Arkansas,SEC,80.22362637362637,1.59,16.2,17.3,1.1000000000000014,36,19.30000000000001,114.4,95.1,64,18,96.5054945054945,82.41758241758241,75,55,65.93406593406593,43,-7
Colorado St.,MWC,79.95054945054945,2.39,17.2,16.7,-0.5,42,17.599999999999994,116.8,99.2,40,52,85.43956043956044,89.01098901098901,75,70,42.30769230769231,44,-2
Indiana,B10,79.41483516483517,2.28,16.7,16.4,-0.3000000000000007,44,17.0,114.2,97.2,66,35,90.10989010989012,81.86813186813187,75,70,46.42857142857143,45,-1
Boise St.,MWC,79.11263736263737,2.12,16.4,16.4,0.0,49,16.0,116.9,100.9,39,70,80.76923076923077,89.28571428571429,75,70,51.92307692307693,46,3
BYU,B12,78.60714285714286,1.93,17.4,16.9,-0.5,26,22.3,124.1,101.8,9,82,77.47252747252747,100.0,75,55,42.30769230769231,47,-21
UC San Diego,BW,78.41758241758242,1.12,13.4,23.3,9.9,39,18.3,115.0,96.7,61,30,91.48351648351648,83.24175824175825,75,40,100.0,48,-9
Memphis,Amer,78.31868131868133,3.11,19.3,18.9,-0.40000000000000213,52,15.100000000000009,113.4,98.3,73,43,87.91208791208791,79.94505494505495,65,85,44.230769230769226,49,3
McNeese,Slnd,78.28021978021978,2.77,16.2,21.7,5.5,59,14.299999999999995,114.1,99.8,67,57,84.34065934065934,81.5934065934066,65,70,100.0,50,9
Connecticut,BE,77.87472527472526,1.76,17.0,15.7,-1.3000000000000007,32,20.19999999999999,121.6,101.4,15,75,79.12087912087912,97.87912087912088,75,55,30.494505494505496,51,-19
